text,label
This movie was amazing and inspiring!,1
The food was delicious and the service was great.,1
"What a fantastic experience, I will come again!",1
Loved the atmosphere and friendly staff.,1
An absolute masterpiece of cinema.,1
The phone works perfectly and the camera is outstanding.,1
Excellent customer service and quick delivery.,1
"Great quality, totally worth the price.",1
Absolutely loved it! Highly recommend.,1
Best purchase I've made this year.,1
I hated the plot and the acting was bad.,0
"The phone broke after two days, very disappointed.",0
"Terrible, I want my money back.",0
The product didn’t work as advertised.,0
A waste of time and money.,0
Poor quality and bad packaging.,0
The food was cold and tasteless.,0
"Very slow service, not coming again.",0
The item arrived damaged and unusable.,0
Extremely overpriced for what it is.,0
This movie was amazing and inspiring!,1
The food was delicious and the service was great.,1
"What a fantastic experience, I will come again!",1
Loved the atmosphere and friendly staff.,1
An absolute masterpiece of cinema.,1
The phone works perfectly and the camera is outstanding.,1
Excellent customer service and quick delivery.,1
"Great quality, totally worth the price.",1
Absolutely loved it! Highly recommend.,1
Best purchase I've made this year.,1
I hated the plot and the acting was bad.,0
"The phone broke after two days, very disappointed.",0
"Terrible, I want my money back.",0
The product didn’t work as advertised.,0
A waste of time and money.,0
Poor quality and bad packaging.,0
The food was cold and tasteless.,0
"Very slow service, not coming again.",0
The item arrived damaged and unusable.,0
Extremely overpriced for what it is.,0
This movie was amazing and inspiring!,1
The food was delicious and the service was great.,1
"What a fantastic experience, I will come again!",1
Loved the atmosphere and friendly staff.,1
An absolute masterpiece of cinema.,1
The phone works perfectly and the camera is outstanding.,1
Excellent customer service and quick delivery.,1
"Great quality, totally worth the price.",1
Absolutely loved it! Highly recommend.,1
Best purchase I've made this year.,1
I hated the plot and the acting was bad.,0
"The phone broke after two days, very disappointed.",0
"Terrible, I want my money back.",0
The product didn’t work as advertised.,0
A waste of time and money.,0
Poor quality and bad packaging.,0
The food was cold and tasteless.,0
"Very slow service, not coming again.",0
The item arrived damaged and unusable.,0
Extremely overpriced for what it is.,0
This movie was amazing and inspiring!,1
The food was delicious and the service was great.,1
"What a fantastic experience, I will come again!",1
Loved the atmosphere and friendly staff.,1
An absolute masterpiece of cinema.,1
The phone works perfectly and the camera is outstanding.,1
Excellent customer service and quick delivery.,1
"Great quality, totally worth the price.",1
Absolutely loved it! Highly recommend.,1
Best purchase I've made this year.,1
I hated the plot and the acting was bad.,0
"The phone broke after two days, very disappointed.",0
"Terrible, I want my money back.",0
The product didn’t work as advertised.,0
A waste of time and money.,0
Poor quality and bad packaging.,0
The food was cold and tasteless.,0
"Very slow service, not coming again.",0
The item arrived damaged and unusable.,0
Extremely overpriced for what it is.,0
This movie was amazing and inspiring!,1
The food was delicious and the service was great.,1
"What a fantastic experience, I will come again!",1
Loved the atmosphere and friendly staff.,1
An absolute masterpiece of cinema.,1
The phone works perfectly and the camera is outstanding.,1
Excellent customer service and quick delivery.,1
"Great quality, totally worth the price.",1
Absolutely loved it! Highly recommend.,1
Best purchase I've made this year.,1
I hated the plot and the acting was bad.,0
"The phone broke after two days, very disappointed.",0
"Terrible, I want my money back.",0
The product didn’t work as advertised.,0
A waste of time and money.,0
Poor quality and bad packaging.,0
The food was cold and tasteless.,0
"Very slow service, not coming again.",0
The item arrived damaged and unusable.,0
Extremely overpriced for what it is.,0
